industry_code,industry_name,year,value
A040601,总计,2006,11713.1713
A040601,总计,2007,12024.4285
A040601,总计,2008,12192.5243
A040601,总计,2009,12573.035
A040601,总计,2010,13051.5034
A040601,总计,2011,14413.3014
A040601,总计,2012,15236.3715
A040601,总计,2013,18108.4467
A040601,总计,2014,18277.7776
A040601,总计,2015,18062.4914
A040601,总计,2016,17888.0734
A040601,总计,2017,17643.8348
A040601,总计,2018,17258.1976
A040601,总计,2019,17161.7786
A040601,总计,2020,17039.0876669
A040601,总计,2021,17014.5065866
A040601,总计,2022,16700.6558961
A040601,总计,2023,16368.313857
A040601,总计,2024,16511.2
A040602,农林牧渔业,2006,435.2472
A040602,农林牧渔业,2007,426.3086
A040602,农林牧渔业,2008,410.0886
A040602,农林牧渔业,2009,373.6812
A040602,农林牧渔业,2010,375.7384
A040602,农林牧渔业,2011,359.519
A040602,农林牧渔业,2012,338.8566
A040602,农林牧渔业,2013,294.8334
A040602,农林牧渔业,2014,284.5982
A040602,农林牧渔业,2015,269.9788
A040602,农林牧渔业,2016,263.2208
A040602,农林牧渔业,2017,255.4087
A040602,农林牧渔业,2018,192.617
A040602,农林牧渔业,2019,134.0931
A040602,农林牧渔业,2020,85.683295
A040602,农林牧渔业,2021,86.8262
A040602,农林牧渔业,2022,78.9137
A040602,农林牧渔业,2023,69.3053975
A040602,农林牧渔业,2024,66.2
A040603,采矿业,2006,529.6735
A040603,采矿业,2007,535.0372
A040603,采矿业,2008,540.3942
A040603,采矿业,2009,553.6854
A040603,采矿业,2010,562.037
A040603,采矿业,2011,611.5975
A040603,采矿业,2012,631.0219
A040603,采矿业,2013,636.45
A040603,采矿业,2014,596.4913
A040603,采矿业,2015,545.7799
A040603,采矿业,2016,490.9177
A040603,采矿业,2017,455.3768
A040603,采矿业,2018,414.4315
A040603,采矿业,2019,367.693
A040603,采矿业,2020,352.0913616
A040603,采矿业,2021,344.8497
A040603,采矿业,2022,340.8981
A040603,采矿业,2023,329.3416067
A040603,采矿业,2024,326.3
A040604,制造业,2006,3351.6145
A040604,制造业,2007,3465.3607
A040604,制造业,2008,3434.2617
A040604,制造业,2009,3491.8986
A040604,制造业,2010,3637.1514
A040604,制造业,2011,4088.3267
A040604,制造业,2012,4262.1887
A040604,制造业,2013,5257.9395
A040604,制造业,2014,5243.1393
A040604,制造业,2015,5068.7033
A040604,制造业,2016,4893.8403
A040604,制造业,2017,4635.4597
A040604,制造业,2018,4178.3095
A040604,制造业,2019,3832.0304
A040604,制造业,2020,3805.5259254
A040604,制造业,2021,3828.0051
A040604,制造业,2022,3738.4469
A040604,制造业,2023,3577.821843
A040604,制造业,2024,3681.8
A040605,电力、热力、燃气及水生产和供应业,2006,302.5425
A040605,电力、热力、燃气及水生产和供应业,2007,303.4119
A040605,电力、热力、燃气及水生产和供应业,2008,306.5086
A040605,电力、热力、燃气及水生产和供应业,2009,307.6687
A040605,电力、热力、燃气及水生产和供应业,2010,310.5096
A040605,电力、热力、燃气及水生产和供应业,2011,334.6917
A040605,电力、热力、燃气及水生产和供应业,2012,344.5578
A040605,电力、热力、燃气及水生产和供应业,2013,404.5408
A040605,电力、热力、燃气及水生产和供应业,2014,403.6541
A040605,电力、热力、燃气及水生产和供应业,2015,396.0086
A040605,电力、热力、燃气及水生产和供应业,2016,387.6131
A040605,电力、热力、燃气及水生产和供应业,2017,376.9568
A040605,电力、热力、燃气及水生产和供应业,2018,369.1863
A040605,电力、热力、燃气及水生产和供应业,2019,373.1169
A040605,电力、热力、燃气及水生产和供应业,2020,379.7458168
A040605,电力、热力、燃气及水生产和供应业,2021,382.0015
A040605,电力、热力、燃气及水生产和供应业,2022,375.2831
A040605,电力、热力、燃气及水生产和供应业,2023,360.9950097
A040605,电力、热力、燃气及水生产和供应业,2024,357.6
A040606,建筑业,2006,988.6725
A040606,建筑业,2007,1050.7825
A040606,建筑业,2008,1072.5783
A040606,建筑业,2009,1177.4855
A040606,建筑业,2010,1267.5144
A040606,建筑业,2011,1724.7782
A040606,建筑业,2012,2010.2586
A040606,建筑业,2013,2921.8986
A040606,建筑业,2014,2921.1787
A040606,建筑业,2015,2795.9982
A040606,建筑业,2016,2724.7293
A040606,建筑业,2017,2643.2096
A040606,建筑业,2018,2710.8716
A040606,建筑业,2019,2270.4989
A040606,建筑业,2020,2153.2545955
A040606,建筑业,2021,1971.9353
A040606,建筑业,2022,1835.1983
A040606,建筑业,2023,1638.0885388
A040606,建筑业,2024,1353.1
A040607,交通运输、仓储和邮政业,2006,612.7345
A040607,交通运输、仓储和邮政业,2007,623.0512
A040607,交通运输、仓储和邮政业,2008,627.2575
A040607,交通运输、仓储和邮政业,2009,634.3697
A040607,交通运输、仓储和邮政业,2010,631.1113
A040607,交通运输、仓储和邮政业,2011,662.7893
A040607,交通运输、仓储和邮政业,2012,667.5203
A040607,交通运输、仓储和邮政业,2013,846.2153
A040607,交通运输、仓储和邮政业,2014,861.43
A040607,交通运输、仓储和邮政业,2015,854.3893
A040607,交通运输、仓储和邮政业,2016,849.5076
A040607,交通运输、仓储和邮政业,2017,843.8919
A040607,交通运输、仓储和邮政业,2018,819.0015
A040607,交通运输、仓储和邮政业,2019,815.4941
A040607,交通运输、仓储和邮政业,2020,812.1999102
A040607,交通运输、仓储和邮政业,2021,798.0822
A040607,交通运输、仓储和邮政业,2022,776.193
A040607,交通运输、仓储和邮政业,2023,767.87719
A040607,交通运输、仓储和邮政业,2024,767.3
A040608,信息传输、软件和信息技术服务业,2006,138.1913
A040608,信息传输、软件和信息技术服务业,2007,150.2277
A040608,信息传输、软件和信息技术服务业,2008,159.4985
A040608,信息传输、软件和信息技术服务业,2009,173.8119
A040608,信息传输、软件和信息技术服务业,2010,185.7708
A040608,信息传输、软件和信息技术服务业,2011,212.7591
A040608,信息传输、软件和信息技术服务业,2012,222.7996
A040608,信息传输、软件和信息技术服务业,2013,327.3117
A040608,信息传输、软件和信息技术服务业,2014,336.2732
A040608,信息传输、软件和信息技术服务业,2015,349.8697
A040608,信息传输、软件和信息技术服务业,2016,364.0667
A040608,信息传输、软件和信息技术服务业,2017,395.3927
A040608,信息传输、软件和信息技术服务业,2018,424.2577
A040608,信息传输、软件和信息技术服务业,2019,455.2578
A040608,信息传输、软件和信息技术服务业,2020,487.0599612
A040608,信息传输、软件和信息技术服务业,2021,519.165
A040608,信息传输、软件和信息技术服务业,2022,529.157
A040608,信息传输、软件和信息技术服务业,2023,529.509325
A040608,信息传输、软件和信息技术服务业,2024,553.4
A040609,批发和零售业,2006,515.7284
A040609,批发和零售业,2007,506.8584
A040609,批发和零售业,2008,514.353
A040609,批发和零售业,2009,520.843
A040609,批发和零售业,2010,535.088
A040609,批发和零售业,2011,647.4884
A040609,批发和零售业,2012,711.845
A040609,批发和零售业,2013,890.8129
A040609,批发和零售业,2014,888.569
A040609,批发和零售业,2015,883.3214
A040609,批发和零售业,2016,874.9994
A040609,批发和零售业,2017,842.7934
A040609,批发和零售业,2018,823.2771
A040609,批发和零售业,2019,830.0475
A040609,批发和零售业,2020,786.8964528
A040609,批发和零售业,2021,797.4965
A040609,批发和零售业,2022,785.2953
A040609,批发和零售业,2023,782.4432225
A040609,批发和零售业,2024,776.2
A04060A,住宿和餐饮业,2006,183.9052
A04060A,住宿和餐饮业,2007,185.8073
A04060A,住宿和餐饮业,2008,193.2473
A04060A,住宿和餐饮业,2009,202.1188
A04060A,住宿和餐饮业,2010,209.2175
A04060A,住宿和餐饮业,2011,242.7382
A04060A,住宿和餐饮业,2012,265.0548
A04060A,住宿和餐饮业,2013,304.3938
A04060A,住宿和餐饮业,2014,289.2857
A04060A,住宿和餐饮业,2015,276.1231
A04060A,住宿和餐饮业,2016,269.7453
A04060A,住宿和餐饮业,2017,265.9378
A04060A,住宿和餐饮业,2018,269.8464
A04060A,住宿和餐饮业,2019,265.2268
A04060A,住宿和餐饮业,2020,256.6091253
A04060A,住宿和餐饮业,2021,265.2668
A04060A,住宿和餐饮业,2022,255.0024
A04060A,住宿和餐饮业,2023,288.4194886
A04060A,住宿和餐饮业,2024,290.0
A04060B,金融业,2006,367.3915
A04060B,金融业,2007,389.7128
A04060B,金融业,2008,417.5503
A04060B,金融业,2009,449.0479
A04060B,金融业,2010,470.0814
A04060B,金融业,2011,505.3243
A04060B,金融业,2012,527.7677
A04060B,金融业,2013,537.9393
A04060B,金融业,2014,566.2963
A04060B,金融业,2015,606.8346
A04060B,金融业,2016,665.166
A04060B,金融业,2017,688.8064
A04060B,金融业,2018,699.2985
A04060B,金融业,2019,826.062
A04060B,金融业,2020,858.9842962
A04060B,金融业,2021,818.465
A04060B,金融业,2022,739.5705
A04060B,金融业,2023,692.371145
A04060B,金融业,2024,792.8
A04060C,房地产业,2006,153.9451
A04060C,房地产业,2007,166.4653
A04060C,房地产业,2008,172.678
A04060C,房地产业,2009,190.9221
A04060C,房地产业,2010,211.6302
A04060C,房地产业,2011,248.5833
A04060C,房地产业,2012,273.7129
A04060C,房地产业,2013,373.7341
A04060C,房地产业,2014,402.2447
A04060C,房地产业,2015,417.3414
A04060C,房地产业,2016,431.7379
A04060C,房地产业,2017,444.7774
A04060C,房地产业,2018,466.0072
A04060C,房地产业,2019,510.2621
A04060C,房地产业,2020,525.351415
A04060C,房地产业,2021,529.3419
A04060C,房地产业,2022,511.505
A04060C,房地产业,2023,509.390618
A04060C,房地产业,2024,522.1
A04060D,租赁和商务服务业,2006,236.7468
A04060D,租赁和商务服务业,2007,247.2289
A04060D,租赁和商务服务业,2008,274.6931
A04060D,租赁和商务服务业,2009,290.495
A04060D,租赁和商务服务业,2010,310.065
A04060D,租赁和商务服务业,2011,286.5836
A04060D,租赁和商务服务业,2012,292.285
A04060D,租赁和商务服务业,2013,421.8913
A04060D,租赁和商务服务业,2014,449.4463
A04060D,租赁和商务服务业,2015,474.0413
A04060D,租赁和商务服务业,2016,488.4125
A04060D,租赁和商务服务业,2017,522.5646
A04060D,租赁和商务服务业,2018,529.5228
A04060D,租赁和商务服务业,2019,660.3662
A04060D,租赁和商务服务业,2020,643.6369645
A04060D,租赁和商务服务业,2021,680.3468
A04060D,租赁和商务服务业,2022,738.2784
A04060D,租赁和商务服务业,2023,827.8410341
A04060D,租赁和商务服务业,2024,910.8
A04060E,科学研究和技术服务业,2006,235.4549
A04060E,科学研究和技术服务业,2007,243.3867
A04060E,科学研究和技术服务业,2008,257.0449
A04060E,科学研究和技术服务业,2009,272.5885
A04060E,科学研究和技术服务业,2010,292.2915
A04060E,科学研究和技术服务业,2011,298.4714
A04060E,科学研究和技术服务业,2012,330.6752
A04060E,科学研究和技术服务业,2013,387.7646
A04060E,科学研究和技术服务业,2014,408.0405
A04060E,科学研究和技术服务业,2015,410.5829
A04060E,科学研究和技术服务业,2016,419.5578
A04060E,科学研究和技术服务业,2017,420.4109
A04060E,科学研究和技术服务业,2018,411.5301
A04060E,科学研究和技术服务业,2019,434.3238
A04060E,科学研究和技术服务业,2020,431.1950261
A04060E,科学研究和技术服务业,2021,450.1163
A04060E,科学研究和技术服务业,2022,455.8142
A04060E,科学研究和技术服务业,2023,451.6607345
A04060E,科学研究和技术服务业,2024,482.1
A04060F,水利、环境和公共设施管理业,2006,187.0049
A04060F,水利、环境和公共设施管理业,2007,193.4645
A04060F,水利、环境和公共设施管理业,2008,197.2912
A04060F,水利、环境和公共设施管理业,2009,205.6635
A04060F,水利、环境和公共设施管理业,2010,218.9109
A04060F,水利、环境和公共设施管理业,2011,230.3493
A04060F,水利、环境和公共设施管理业,2012,243.7831
A04060F,水利、环境和公共设施管理业,2013,259.195
A04060F,水利、环境和公共设施管理业,2014,269.1186
A04060F,水利、环境和公共设施管理业,2015,273.3293
A04060F,水利、环境和公共设施管理业,2016,269.5962
A04060F,水利、环境和公共设施管理业,2017,268.4986
A04060F,水利、环境和公共设施管理业,2018,260.6323
A04060F,水利、环境和公共设施管理业,2019,244.4517
A04060F,水利、环境和公共设施管理业,2020,245.564164
A04060F,水利、环境和公共设施管理业,2021,252.5631
A04060F,水利、环境和公共设施管理业,2022,253.5957
A04060F,水利、环境和公共设施管理业,2023,257.8987702
A04060F,水利、环境和公共设施管理业,2024,274.4
A04060G,居民服务、修理和其他服务业,2006,56.5556
A04060G,居民服务、修理和其他服务业,2007,57.3878
A04060G,居民服务、修理和其他服务业,2008,56.5306
A04060G,居民服务、修理和其他服务业,2009,58.822
A04060G,居民服务、修理和其他服务业,2010,60.2479
A04060G,居民服务、修理和其他服务业,2011,59.8548
A04060G,居民服务、修理和其他服务业,2012,62.1331
A04060G,居民服务、修理和其他服务业,2013,72.3342
A04060G,居民服务、修理和其他服务业,2014,75.4145
A04060G,居民服务、修理和其他服务业,2015,75.1831
A04060G,居民服务、修理和其他服务业,2016,75.3757
A04060G,居民服务、修理和其他服务业,2017,78.2342
A04060G,居民服务、修理和其他服务业,2018,77.4059
A04060G,居民服务、修理和其他服务业,2019,86.3239
A04060G,居民服务、修理和其他服务业,2020,82.8103494
A04060G,居民服务、修理和其他服务业,2021,85.8618
A04060G,居民服务、修理和其他服务业,2022,90.1009
A04060G,居民服务、修理和其他服务业,2023,85.1624877
A04060G,居民服务、修理和其他服务业,2024,89.8
A04060H,教育业,2006,1504.4142
A04060H,教育业,2007,1520.9106
A04060H,教育业,2008,1533.9899
A04060H,教育业,2009,1550.3524
A04060H,教育业,2010,1581.7543
A04060H,教育业,2011,1617.7726
A04060H,教育业,2012,1653.3788
A04060H,教育业,2013,1687.2273
A04060H,教育业,2014,1727.326
A04060H,教育业,2015,1736.468
A04060H,教育业,2016,1729.2418
A04060H,教育业,2017,1730.3682
A04060H,教育业,2018,1735.5819
A04060H,教育业,2019,1909.3201
A04060H,教育业,2020,1958.9256854
A04060H,教育业,2021,1971.9496
A04060H,教育业,2022,1950.6241
A04060H,教育业,2023,1940.5041179
A04060H,教育业,2024,1949.0
A04060I,卫生和社会工作,2006,525.4252
A04060I,卫生和社会工作,2007,542.8019
A04060I,卫生和社会工作,2008,563.6075
A04060I,卫生和社会工作,2009,595.7664
A04060I,卫生和社会工作,2010,632.5394
A04060I,卫生和社会工作,2011,679.0566
A04060I,卫生和社会工作,2012,719.2776
A04060I,卫生和社会工作,2013,770.0266
