industry_code,industry_name,wage_type,year,value
A040601,总计,non_private,2006,20856.0
A040601,总计,non_private,2007,24721.0
A040601,总计,non_private,2008,28898.0
A040601,总计,non_private,2009,32244.0
A040601,总计,non_private,2010,36539.0
A040601,总计,non_private,2011,41799.0
A040601,总计,non_private,2012,46769.0
A040601,总计,non_private,2013,51483.0
A040601,总计,non_private,2014,56360.0
A040601,总计,non_private,2015,62029.0
A040601,总计,non_private,2016,67569.0
A040601,总计,non_private,2017,74318.0
A040601,总计,non_private,2018,82413.0
A040601,总计,non_private,2019,90501.0
A040601,总计,non_private,2020,97379.0
A040601,总计,non_private,2021,106837.0
A040601,总计,non_private,2022,114029.0
A040601,总计,non_private,2023,120698.0
A040601,总计,non_private,2024,124110.0
A040602,农林牧渔业,non_private,2006,9269.0
A040602,农林牧渔业,non_private,2007,10847.0
A040602,农林牧渔业,non_private,2008,12560.0
A040602,农林牧渔业,non_private,2009,14356.0
A040602,农林牧渔业,non_private,2010,16717.0
A040602,农林牧渔业,non_private,2011,19469.0
A040602,农林牧渔业,non_private,2012,22687.0
A040602,农林牧渔业,non_private,2013,25820.0
A040602,农林牧渔业,non_private,2014,28356.0
A040602,农林牧渔业,non_private,2015,31947.0
A040602,农林牧渔业,non_private,2016,33612.0
A040602,农林牧渔业,non_private,2017,36504.0
A040602,农林牧渔业,non_private,2018,36466.0
A040602,农林牧渔业,non_private,2019,39340.0
A040602,农林牧渔业,non_private,2020,48540.0
A040602,农林牧渔业,non_private,2021,53819.0
A040602,农林牧渔业,non_private,2022,58976.0
A040602,农林牧渔业,non_private,2023,62952.0
A040602,农林牧渔业,non_private,2024,67475.0
A040603,采矿业,non_private,2006,24125.0
A040603,采矿业,non_private,2007,28185.0
A040603,采矿业,non_private,2008,34233.0
A040603,采矿业,non_private,2009,38038.0
A040603,采矿业,non_private,2010,44196.0
A040603,采矿业,non_private,2011,52230.0
A040603,采矿业,non_private,2012,56946.0
A040603,采矿业,non_private,2013,60138.0
A040603,采矿业,non_private,2014,61677.0
A040603,采矿业,non_private,2015,59404.0
A040603,采矿业,non_private,2016,60544.0
A040603,采矿业,non_private,2017,69500.0
A040603,采矿业,non_private,2018,81429.0
A040603,采矿业,non_private,2019,91068.0
A040603,采矿业,non_private,2020,96674.0
A040603,采矿业,non_private,2021,108467.0
A040603,采矿业,non_private,2022,121522.0
A040603,采矿业,non_private,2023,135025.0
A040603,采矿业,non_private,2024,140706.0
A040604,制造业,non_private,2006,18225.0
A040604,制造业,non_private,2007,21144.0
A040604,制造业,non_private,2008,24404.0
A040604,制造业,non_private,2009,26810.0
A040604,制造业,non_private,2010,30916.0
A040604,制造业,non_private,2011,36665.0
A040604,制造业,non_private,2012,41650.0
A040604,制造业,non_private,2013,46431.0
A040604,制造业,non_private,2014,51369.0
A040604,制造业,non_private,2015,55324.0
A040604,制造业,non_private,2016,59470.0
A040604,制造业,non_private,2017,64452.0
A040604,制造业,non_private,2018,72088.0
A040604,制造业,non_private,2019,78147.0
A040604,制造业,non_private,2020,82783.0
A040604,制造业,non_private,2021,92459.0
A040604,制造业,non_private,2022,97528.0
A040604,制造业,non_private,2023,103932.0
A040604,制造业,non_private,2024,107987.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2006,28424.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2007,33470.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2008,38515.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2009,41869.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2010,47309.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2011,52723.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2012,58202.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2013,67085.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2014,73339.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2015,78886.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2016,83863.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2017,90348.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2018,100162.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2019,107733.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2020,116728.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2021,125332.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2022,132964.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2023,143594.0
A040605,电力、热力、燃气及水生产和供应业,non_private,2024,150285.0
A040606,建筑业,non_private,2006,16164.0
A040606,建筑业,non_private,2007,18482.0
A040606,建筑业,non_private,2008,21223.0
A040606,建筑业,non_private,2009,24161.0
A040606,建筑业,non_private,2010,27529.0
A040606,建筑业,non_private,2011,32103.0
A040606,建筑业,non_private,2012,36483.0
A040606,建筑业,non_private,2013,42072.0
A040606,建筑业,non_private,2014,45804.0
A040606,建筑业,non_private,2015,48886.0
A040606,建筑业,non_private,2016,52082.0
A040606,建筑业,non_private,2017,55568.0
A040606,建筑业,non_private,2018,60501.0
A040606,建筑业,non_private,2019,65580.0
A040606,建筑业,non_private,2020,69986.0
A040606,建筑业,non_private,2021,75762.0
A040606,建筑业,non_private,2022,78295.0
A040606,建筑业,non_private,2023,85804.0
A040606,建筑业,non_private,2024,89519.0
A040607,交通运输、仓储和邮政业,non_private,2006,24111.0
A040607,交通运输、仓储和邮政业,non_private,2007,27903.0
A040607,交通运输、仓储和邮政业,non_private,2008,32041.0
A040607,交通运输、仓储和邮政业,non_private,2009,35315.0
A040607,交通运输、仓储和邮政业,non_private,2010,40466.0
A040607,交通运输、仓储和邮政业,non_private,2011,47078.0
A040607,交通运输、仓储和邮政业,non_private,2012,53391.0
A040607,交通运输、仓储和邮政业,non_private,2013,57993.0
A040607,交通运输、仓储和邮政业,non_private,2014,63416.0
A040607,交通运输、仓储和邮政业,non_private,2015,68822.0
A040607,交通运输、仓储和邮政业,non_private,2016,73650.0
A040607,交通运输、仓储和邮政业,non_private,2017,80225.0
A040607,交通运输、仓储和邮政业,non_private,2018,88508.0
A040607,交通运输、仓储和邮政业,non_private,2019,97050.0
A040607,交通运输、仓储和邮政业,non_private,2020,100642.0
A040607,交通运输、仓储和邮政业,non_private,2021,109851.0
A040607,交通运输、仓储和邮政业,non_private,2022,115345.0
A040607,交通运输、仓储和邮政业,non_private,2023,122705.0
A040607,交通运输、仓储和邮政业,non_private,2024,127889.0
A040608,信息传输、软件和信息技术服务业,non_private,2006,43435.0
A040608,信息传输、软件和信息技术服务业,non_private,2007,47700.0
A040608,信息传输、软件和信息技术服务业,non_private,2008,54906.0
A040608,信息传输、软件和信息技术服务业,non_private,2009,58154.0
A040608,信息传输、软件和信息技术服务业,non_private,2010,64436.0
A040608,信息传输、软件和信息技术服务业,non_private,2011,70918.0
A040608,信息传输、软件和信息技术服务业,non_private,2012,80510.0
A040608,信息传输、软件和信息技术服务业,non_private,2013,90915.0
A040608,信息传输、软件和信息技术服务业,non_private,2014,100845.0
A040608,信息传输、软件和信息技术服务业,non_private,2015,112042.0
A040608,信息传输、软件和信息技术服务业,non_private,2016,122478.0
A040608,信息传输、软件和信息技术服务业,non_private,2017,133150.0
A040608,信息传输、软件和信息技术服务业,non_private,2018,147678.0
A040608,信息传输、软件和信息技术服务业,non_private,2019,161352.0
A040608,信息传输、软件和信息技术服务业,non_private,2020,177544.0
A040608,信息传输、软件和信息技术服务业,non_private,2021,201506.0
A040608,信息传输、软件和信息技术服务业,non_private,2022,220418.0
A040608,信息传输、软件和信息技术服务业,non_private,2023,231810.0
A040608,信息传输、软件和信息技术服务业,non_private,2024,238966.0
A040609,批发和零售业,non_private,2006,17796.0
A040609,批发和零售业,non_private,2007,21074.0
A040609,批发和零售业,non_private,2008,25818.0
A040609,批发和零售业,non_private,2009,29139.0
A040609,批发和零售业,non_private,2010,33635.0
A040609,批发和零售业,non_private,2011,40654.0
A040609,批发和零售业,non_private,2012,46340.0
A040609,批发和零售业,non_private,2013,50308.0
A040609,批发和零售业,non_private,2014,55838.0
A040609,批发和零售业,non_private,2015,60328.0
A040609,批发和零售业,non_private,2016,65061.0
A040609,批发和零售业,non_private,2017,71201.0
A040609,批发和零售业,non_private,2018,80551.0
A040609,批发和零售业,non_private,2019,89047.0
A040609,批发和零售业,non_private,2020,96521.0
A040609,批发和零售业,non_private,2021,107735.0
A040609,批发和零售业,non_private,2022,115408.0
A040609,批发和零售业,non_private,2023,124362.0
A040609,批发和零售业,non_private,2024,129658.0
A04060A,住宿和餐饮业,non_private,2006,15236.0
A04060A,住宿和餐饮业,non_private,2007,17046.0
A04060A,住宿和餐饮业,non_private,2008,19321.0
A04060A,住宿和餐饮业,non_private,2009,20860.0
A04060A,住宿和餐饮业,non_private,2010,23382.0
A04060A,住宿和餐饮业,non_private,2011,27486.0
A04060A,住宿和餐饮业,non_private,2012,31267.0
A04060A,住宿和餐饮业,non_private,2013,34044.0
A04060A,住宿和餐饮业,non_private,2014,37264.0
A04060A,住宿和餐饮业,non_private,2015,40806.0
A04060A,住宿和餐饮业,non_private,2016,43382.0
A04060A,住宿和餐饮业,non_private,2017,45751.0
A04060A,住宿和餐饮业,non_private,2018,48260.0
A04060A,住宿和餐饮业,non_private,2019,50346.0
A04060A,住宿和餐饮业,non_private,2020,48833.0
A04060A,住宿和餐饮业,non_private,2021,53631.0
A04060A,住宿和餐饮业,non_private,2022,53995.0
A04060A,住宿和餐饮业,non_private,2023,58094.0
A04060A,住宿和餐饮业,non_private,2024,60240.0
A04060B,金融业,non_private,2006,35495.0
A04060B,金融业,non_private,2007,44011.0
A04060B,金融业,non_private,2008,53897.0
A04060B,金融业,non_private,2009,60398.0
A04060B,金融业,non_private,2010,70146.0
A04060B,金融业,non_private,2011,81109.0
A04060B,金融业,non_private,2012,89743.0
A04060B,金融业,non_private,2013,99653.0
A04060B,金融业,non_private,2014,108273.0
A04060B,金融业,non_private,2015,114777.0
A04060B,金融业,non_private,2016,117418.0
A04060B,金融业,non_private,2017,122851.0
A04060B,金融业,non_private,2018,129837.0
A04060B,金融业,non_private,2019,131405.0
A04060B,金融业,non_private,2020,133390.0
A04060B,金融业,non_private,2021,150843.0
A04060B,金融业,non_private,2022,174341.0
A04060B,金融业,non_private,2023,197663.0
A04060B,金融业,non_private,2024,201883.0
A04060C,房地产业,non_private,2006,22238.0
A04060C,房地产业,non_private,2007,26085.0
A04060C,房地产业,non_private,2008,30118.0
A04060C,房地产业,non_private,2009,32242.0
A04060C,房地产业,non_private,2010,35870.0
A04060C,房地产业,non_private,2011,42837.0
A04060C,房地产业,non_private,2012,46764.0
A04060C,房地产业,non_private,2013,51048.0
A04060C,房地产业,non_private,2014,55568.0
A04060C,房地产业,non_private,2015,60244.0
A04060C,房地产业,non_private,2016,65497.0
A04060C,房地产业,non_private,2017,69277.0
A04060C,房地产业,non_private,2018,75281.0
A04060C,房地产业,non_private,2019,80157.0
A04060C,房地产业,non_private,2020,83807.0
A04060C,房地产业,non_private,2021,91143.0
A04060C,房地产业,non_private,2022,90346.0
A04060C,房地产业,non_private,2023,91932.0
A04060C,房地产业,non_private,2024,91912.0
A04060D,租赁和商务服务业,non_private,2006,24510.0
A04060D,租赁和商务服务业,non_private,2007,27807.0
A04060D,租赁和商务服务业,non_private,2008,32915.0
A04060D,租赁和商务服务业,non_private,2009,35494.0
A04060D,租赁和商务服务业,non_private,2010,39566.0
A04060D,租赁和商务服务业,non_private,2011,46976.0
A04060D,租赁和商务服务业,non_private,2012,53162.0
A04060D,租赁和商务服务业,non_private,2013,62538.0
A04060D,租赁和商务服务业,non_private,2014,67131.0
A04060D,租赁和商务服务业,non_private,2015,72489.0
A04060D,租赁和商务服务业,non_private,2016,76782.0
A04060D,租赁和商务服务业,non_private,2017,81393.0
A04060D,租赁和商务服务业,non_private,2018,85147.0
A04060D,租赁和商务服务业,non_private,2019,88190.0
A04060D,租赁和商务服务业,non_private,2020,92924.0
A04060D,租赁和商务服务业,non_private,2021,102537.0
A04060D,租赁和商务服务业,non_private,2022,106500.0
A04060D,租赁和商务服务业,non_private,2023,109264.0
A04060D,租赁和商务服务业,non_private,2024,110353.0
A04060E,科学研究和技术服务业,non_private,2006,31644.0
A04060E,科学研究和技术服务业,non_private,2007,38432.0
A04060E,科学研究和技术服务业,non_private,2008,45512.0
A04060E,科学研究和技术服务业,non_private,2009,50143.0
A04060E,科学研究和技术服务业,non_private,2010,56376.0
A04060E,科学研究和技术服务业,non_private,2011,64252.0
A04060E,科学研究和技术服务业,non_private,2012,69254.0
A04060E,科学研究和技术服务业,non_private,2013,76602.0
A04060E,科学研究和技术服务业,non_private,2014,82259.0
A04060E,科学研究和技术服务业,non_private,2015,89410.0
A04060E,科学研究和技术服务业,non_private,2016,96638.0
A04060E,科学研究和技术服务业,non_private,2017,107815.0
A04060E,科学研究和技术服务业,non_private,2018,123343.0
A04060E,科学研究和技术服务业,non_private,2019,133459.0
A04060E,科学研究和技术服务业,non_private,2020,139851.0
A04060E,科学研究和技术服务业,non_private,2021,151776.0
A04060E,科学研究和技术服务业,non_private,2022,163486.0
A04060E,科学研究和技术服务业,non_private,2023,171447.0
A04060E,科学研究和技术服务业,non_private,2024,175425.0
A04060F,水利、环境和公共设施管理业,non_private,2006,15630.0
A04060F,水利、环境和公共设施管理业,non_private,2007,18383.0
A04060F,水利、环境和公共设施管理业,non_private,2008,21103.0
A04060F,水利、环境和公共设施管理业,non_private,2009,23159.0
A04060F,水利、环境和公共设施管理业,non_private,2010,25544.0
A04060F,水利、环境和公共设施管理业,non_private,2011,28868.0
A04060F,水利、环境和公共设施管理业,non_private,2012,32343.0
A04060F,水利、环境和公共设施管理业,non_private,2013,36123.0
A04060F,水利、环境和公共设施管理业,non_private,2014,39198.0
A04060F,水利、环境和公共设施管理业,non_private,2015,43528.0
A04060F,水利、环境和公共设施管理业,non_private,2016,47750.0
A04060F,水利、环境和公共设施管理业,non_private,2017,52229.0
A04060F,水利、环境和公共设施管理业,non_private,2018,56670.0
